time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
8252,498.0354544805268,0.0,0.0,0.0,558.8995585396153,0.0,3103.018500572601,6756.878794791076,1223.32098098804,5579.055441130034,11641.625403775663,2107.6957337492804,0.0,-0.0,-0.0,-5900.0,-1911.111169777672,-0.0,3548.9445588699664,-0.0,2893.211611238057
8253,-0.0,0.0,270.2385560808761,0.0,355.4525664906578,0.0,3103.018500572601,6756.878794791076,1223.32098098804,5825.210761245475,12155.269345508927,2200.6900629007964,0.0,-0.0,-0.0,-5900.0,-1905.0270478568386,-0.0,2888.5506826736496,-0.0,3021.574481366181
8254,0.0,0.0,0.0,0.0,0.0,0.0,3103.018500572601,6756.878794791076,1223.32098098804,5287.222809298098,11032.668167871723,1997.4451009008624,0.0,-0.0,-0.0,-4838.641399773651,-2157.282532857366,-0.0,2406.418590475553,-0.0,3520.282532857366
8255,0.0,-1.1442373576178833e-13,0.0,0.0,0.0,0.0,3103.018500572584,6756.878794791038,1223.320980988033,4605.334301956895,9609.794591265336,1739.8363510002498,0.0,-0.0,-0.0,-3252.749845336822,-2740.113229667648,-0.0,1218.4155433799274,-0.0,3967.113229667648
8256,0.0,532.1479981259567,0.0,115.8975874019933,0.0,887.8318508463968,1452.2126582679773,3162.219275962223,572.5142191024026,1968.9212373009705,4108.481038782017,743.8332412604692,0.0,-0.0,-0.0,-3909.1254415284648,-3292.62776106953,-0.0,4343.101791629488,-0.0,5272.459611915927
8257,0.0,870.9198332228244,0.0,638.6439972464012,0.0,887.8318508463968,1452.2126582679773,3162.219275962223,572.5142191024026,1968.9212373009705,4108.481038782017,743.8332412604692,-0.0,-0.0,-0.0,-5900.0,-907.1404121222138,-0.0,6653.722759945431,-0.0,2788.9722629686107
8258,0.0,0.0,0.0,0.0,587.784344364117,0.0,1452.2126582679773,3162.219275962223,572.5142191024026,3369.2002968609386,7457.362250972379,1350.142274488555,0.0,-0.0,-0.0,-5533.8864463169075,-0.0,-0.0,4140.686149455969,-0.0,355.215655635883
8259,0.0,0.0,0.0,0.0,27.3055619022679,0.0,1452.2126582679773,3162.219275962223,572.5142191024026,4484.206723450414,9357.041789304785,1694.0759022735065,0.0,-0.0,-0.0,-5592.938920909265,249.32578446557685,-0.0,3029.732197458851,-0.0,645.2688644531967
8260,0.0,0.0,0.0,0.0,0.0,0.0,3103.0185005725975,6756.878794791068,1223.3209809880384,3575.5044703703334,7460.883676959063,1350.7798224486912,-0.0,-0.0,-0.0,-3583.896144042535,-51.194363342784754,-0.0,1920.3916736722017,-0.0,964.1943633427848
8261,63.130798213623486,0.0,0.0,0.0,0.0,0.0,3103.018500572601,6756.878794791076,1223.32098098804,3273.0006017945398,6829.659133967416,1236.4977329502742,-0.0,-0.0,-0.0,-2513.7562976943304,-1257.7478628373774,-0.0,1205.7556958997905,-0.0,2195.7478628373774
8262,0.0,0.0,0.0,0.0,0.0,0.0,1452.2126582679773,3162.219275962223,572.5142191024026,6114.809380746104,12759.56494379644,2310.0967144858046,-0.0,-0.0,-0.0,-5394.833311580874,-872.489749572806,-0.0,1461.02393083477,-0.0,1913.489749572806
8263,253.5059810171606,0.0,0.0,0.0,0.0,0.0,3103.018500572601,6756.878794791076,1223.32098098804,6553.645816826817,13675.27002260183,2475.883502930716,-0.0,-0.0,-0.0,-4827.792029156723,-909.978081011775,-0.0,849.146212329906,-0.0,2138.978081011775
8264,870.9198332228244,0.0,638.6439972464012,0.0,887.8318508463968,0.0,3103.0185005726016,6756.878794791077,1223.3209809880402,6553.645816826817,13675.27002260183,2475.883502930716,-0.0,-0.0,-0.0,-5378.122547472407,-559.1100821786858,-0.0,994.8327333991884,-0.0,1012.278231332289
8265,-0.0,0.0,0.0,0.0,0.0,0.0,2791.372864102358,6078.264796142218,1100.4591141776843,6332.659640968153,13214.14567890139,2392.397754314364,-0.0,-0.0,-0.0,-5900.0,-157.14292519487822,1237.1771120116755,2243.5070703233896,182.83328870845696,1522.1429251948782
8266,-0.0,0.0,-0.0,0.0,0.0,0.0,3103.0185005726016,6756.878794791077,1223.3209809880402,2702.728492824072,5639.691702937439,1021.0562296642263,0.0,-0.0,-0.0,-3286.0626695367678,-963.5733712162046,2765.7211338686875,3050.6215288784897,405.7126478342061,2335.5733712162046
8267,0.0,456.09157528936885,0.0,-0.0,0.0,-0.0,1452.2126582679775,3162.219275962224,572.5142191024028,2215.1322860874643,4622.241267639419,836.8486239905822,-0.0,-0.0,-0.0,-5261.03250831954,-53.7190045804624,3811.924597717487,5364.914320896025,552.9859013360511,1424.7190045804623
8268,0.0,870.9198332228244,0.0,633.368602495652,0.0,418.3154777944753,1452.2126582679775,3162.219275962224,572.5142191024028,2215.1322860874643,4622.241267639419,836.8486239905822,-0.0,-0.0,-0.0,-5344.265382428634,-0.0,4168.207451207121,6024.388241169175,602.1134576676474,1785.3154777944753
8269,0.0,870.9198332228244,0.0,638.6439972464012,0.0,887.8318508463968,1452.2126582679775,3162.219275962224,572.5142191024028,2215.1322860874643,4622.241267639419,836.8486239905822,-0.0,-0.0,-0.0,-5318.888387121142,-0.0,4100.27216134681,5980.365534978357,600.0345633017223,2241.8318508463967
8270,0.0,870.9198332228244,0.0,0.0,0.0,887.8318508463968,1452.2126582679775,3162.219275962224,572.5142191024028,2215.1322860874643,4622.241267639419,836.8486239905822,-0.0,-0.0,-0.0,-5547.704006230371,-48.316666825253236,3808.9052515014737,5599.22186810425,565.3498520386578,2288.14851767165
8271,0.0,870.9198332228242,0.0,0.0,0.0,20.080221362838415,1452.2126582679775,3162.219275962224,572.5142191024028,2215.1322860874643,4622.241267639419,836.8486239905822,-0.0,-0.0,-0.0,-5672.4425449743885,-767.286351270329,2943.862560613505,5830.48790683301,448.82235205391413,2134.3665726331674
8272,0.0,-0.0,0.0,0.0,0.0,0.0,3103.0185005726016,6756.878794791077,1223.3209809880402,3705.793729763879,7732.753847098079,1400.0014369450525,-0.0,-0.0,-0.0,-5183.5396970926095,-171.69921863365585,1662.9049284696284,4076.191974406668,272.5539929220624,1542.6992186336558
8273,0.0,-0.0,-0.0,0.0,-0.0,0.0,6779.2327241498215,16916.68569477082,3062.7360897973986,3902.7772337380607,8143.792631026365,1474.4192833576476,-0.0,-0.0,-0.0,-5103.002122305697,791.4381341277705,-0.0,4348.255409694655,1.969478872981583,728.1166698703421
8274,793.7814414723598,0.0,0.0,0.0,887.8318508463968,0.0,6779.2327241498215,14761.90162266483,2672.616236391384,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4650.219712449238,362.0090322758314,-0.0,1467.5738956224222,-0.0,367.273987010739
8275,534.6326046786312,0.0,0.0,0.0,543.7368735941054,0.0,6779.2327241498215,14761.90162266483,2672.616236391384,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4891.829478385878,347.4967510215188,-0.0,1708.1836615590626,-0.0,724.5960233619497
8276,870.9198332228244,0.0,496.75380725076263,0.0,442.4111524390288,0.0,6779.2327241498215,14761.90162266483,2672.616236391384,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4592.214449809579,612.8559646938222,-0.0,847.8148257320003,-0.0,534.7778602302786
8277,870.9198332228244,0.0,579.8776571709113,0.0,-0.0,0.0,6779.2327241498215,14761.90162266483,2672.616236391384,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4540.157070682662,960.4391951890902,-0.0,597.6335966849379,-0.0,582.4371298059592
8278,264.36838408747644,0.0,0.0,0.0,1.1368683772161603e-13,0.0,6779.232724149813,14761.901622664811,2672.616236391381,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4349.554916601745,881.6311110127842,-0.0,781.9090997749302,-0.0,561.6963319535009
8279,0.0,-0.0,0.0,-0.0,0.0,-0.0,6779.232724149813,14761.901622664811,2672.616236391381,5626.52711426904,11740.682930951418,2125.6299242237806,0.0,-0.0,-0.0,-3588.151271900984,899.228791367441,-0.0,652.6241576319444,-0.0,403.44451371608955
8280,0.0,-0.0,0.0,-0.0,0.0,-0.0,6779.2327241498215,14761.90162266483,2672.616236391384,4215.127472733531,8795.563260577332,1592.421205567077,0.0,-0.0,-0.0,-2305.5242915939098,594.3856096118367,-0.0,507.3968188603785,-0.0,571.296354218476
8281,0.0,0.0,0.0,0.0,0.0,0.0,6779.232724149813,14761.901622664811,2672.616236391381,3363.6078537773838,7018.726207700623,1270.7279929765673,0.0,-0.0,-0.0,-1942.057310151712,838.3913935981401,-0.0,822.4494563743282,-0.0,249.08622257775346
8282,0.0,0.0,0.0,0.0,0.0,0.0,6779.232724149813,14761.901622664811,2672.616236391381,2856.9623997263097,5961.526355355408,1079.3238254978835,0.0,-0.0,-0.0,-1416.2131479565066,610.0181839503118,-0.0,720.2507482301928,-0.0,432.97102010426545
8283,0.0,0.0,0.0,4.433786671143025e-12,0.0,0.0,6779.2327241498215,14761.90162266483,2672.616236391384,3302.5396435611333,6891.297248637865,1247.6572048299586,0.0,-0.0,-0.0,-1524.92776240159,847.3949740705234,-0.0,346.3881188404612,-0.0,183.2595970984276
8284,0.0,1.796605216441094e-12,0.0,-0.0,0.0,9.691517739749701e-13,3322.44973541506,7234.694269416262,1309.8286294011446,6553.6458168268155,13675.270022601826,2475.8835029307156,0.0,-0.0,-0.0,-4960.109712208615,773.521146003117,-0.0,533.4638953817995,-0.0,256.68152025169394
8285,0.0,870.9198332228244,0.0,-0.0,0.0,301.6279706851719,3172.680914902113,6908.569959407132,1250.7843986311664,5609.051659483022,11704.21749329335,2119.0279210914446,0.0,-0.0,-0.0,-5011.6913073860105,-469.44710891083656,-0.0,1605.6396479029881,-0.0,1822.0750795960084
