Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
310,136340,83812,32463,31937.18,30440.74,15988.28,0
311,126688,78629,30278,31937.18,30440.74,15988.28,0
312,116281,73752,28073,31937.18,30440.74,15988.28,0
313,107508,71098,26452,31937.18,30440.74,15988.28,0
314,101012,69373,25471,31937.18,30440.74,15988.28,0
315,96821,68652,24991,31937.18,30440.74,15988.28,0
316,94430,68946,24856,31937.18,30440.74,15988.28,0
317,93733,70188,25127,31937.18,30440.74,15988.28,0
318,94331,71520,25553,31937.18,30440.74,15988.28,0
319,96332,73591,26600,31937.18,30440.74,15988.28,0
320,100648,76895,28366,31937.18,30440.74,15988.28,0
321,109557,78988,30206,31937.18,30440.74,15988.28,0
322,118044,79542,31341,31937.18,30440.74,15988.28,0
323,125439,79603,31752,31937.18,30440.74,15988.28,0
324,132190,79396,31921,31937.18,30440.74,15988.28,0
325,138564,79007,31826,31937.18,30440.74,15988.28,0
326,144365,78268,31521,31937.18,30440.74,15988.28,0
327,149148,78143,31243,31937.18,30440.74,15988.28,0
328,152802,78914,31383,31937.18,30440.74,15988.28,0
329,155597,80310,32023,31937.18,30440.74,15988.28,0
330,155952,81543,32792,31937.18,30440.74,15988.28,0
331,154621,83192,33479,31937.18,30440.74,15988.28,0
332,152585,87379,34503,31937.18,30440.74,15988.28,0
333,149805,86544,34604,31937.18,30440.74,15988.28,0
334,143265,81168,32497,31937.18,30440.74,15988.28,0
335,130706,75505,29738,31937.18,30440.74,15988.28,0
336,117743,70887,27401,31937.18,30440.74,15988.28,0
337,136089,93227,38330,31937.18,30440.74,15988.28,0
338,129089,89817,36792,31937.18,30440.74,15988.28,0
339,124397,87831,35734,31937.18,30440.74,15988.28,0
340,122164,88168,35427,31937.18,30440.74,15988.28,0
341,123406,91736,36232,31937.18,30440.74,15988.28,0
342,128664,97399,38175,31937.18,30440.74,15988.28,0
343,136501,103741,41516,31937.18,30440.74,15988.28,0
344,143979,110644,45384,31937.18,30440.74,15988.28,0
345,153362,117456,48327,31937.18,30440.74,15988.28,0
346,164788,123911,50406,31937.18,30440.74,15988.28,0
347,176527,129318,51897,31937.18,30440.74,15988.28,0
